,fname,text
0, ," .   Bridging Wall Street Assets into the Crypto Markets     OpenEXA Home Margin About Team Research Contact          Login             On-Chain Credit - anytime, anywhere Line of credit and operational infrastructure for Wall Street.            Get Started            Learn More                monetization_on           Freeze your Traditional Asset Without changing your custodian, OpenEXA takes custody of your assets (stocks & bonds).             show_chart           Get an On-Chain Line of Credit OpenEXA issues a line of credit as a credit token (OXA) or collateral token (AUT).             currency_exchange           Trade with your Credit Line You can swap or trade OXA or AUT for stablecoins, any other crypto investment or loans.     Why OpenEXA? Collateralize your traditional assets in the crypto markets to exchange for credit tokens, enabling 24/7 trading with reduced fees and near-instant execution and settlement. Efficiency On-chain credit tokens offer efficient, low-cost transactions and enable lightning-fast trading of tokenized assets.             Learn More              New Investment Opportunities Access to crypto markets short duration, high return, on-chain Investment opportunities.             Learn More              Only Pay for What You Use Extremely low transaction fees and interest charges on short-time intervals (minutes, not days or weeks).             Learn More              Tax Efficiency Our investment products are designed to be tax smart.             Learn More                Effortlessly Swap Credit and Trade Collateral like a Pro (Trader). Seamlessly Integrate a New Asset Class Operational Infrastructure and On-Chain Credit for NextGen Wall Street.  Infrastructure Crypto Onramp  Simplified Custody Collateral Tokens (AUT) Credit Tokens (OXA) On-Chain Margin Wallet Integration OXA Liquidity Pools & Swaps AUT Marketplace   Asset Class Stocks, Bonds and Crypto  Compliance Reports Portfolio Analytics Performance Report Risk Metrics Relative Valuation  Liquidity Position End of day NAV Tear Sheet Metrices   Asset Class Crypto Specific Reports  Token or Point Positions Compliance Reports Balances Report Margin Report Relative Valuation Liquidity Position Intraday NAV      What is an OXA margin account with credit tokens? OXA Margin Account extends a line of credit, increasing financial leverage by allowing investors to borrow stablecoins or cryptocurrencies using their real-world assets as collateral.  What is the Crypto World Onramp? Onramp into the crypto world is like being Online on the internet. Believing the last thirty years were defined by the online revolution, we see the next thirty as the era of Onramp.   What is an Asset Unique Token (AUT)? An AUT is a crypto-world representation of a traditional asset. It enables these assets to be used as collateral for crypto borrowing and traded 24/7 on Marketplace.  How Do You Make Money with Crypto World Investments? OpenEXA acts as your advisor for maximizing returns by leveraging traditional assets and exploring crypto investments.  Increase Total Returns On-Chain Margin Account Leverage AUT as collateral to exchange for OXA - no need to buy Bitcoin or Ethereum. Liquidity Pools, Wallets and Exchanges can now take advantage of AUT and OXA availability to invest. Learn More    ""OpenEXA's crypto onramp will help us get our hands wet and the platform helps us find the needle in the haystack, providing an edge."" Monty Aw, Head of AI Trading at G42, Ex F.I Quant Trader at JPMC & BoA.  ""The margin part of OpenEXA is straightforward. It is the onramp infrastructure that I am really excited about."" Derek Chen, FI Portfolio Manager at T.Row, Ex Goldman Sachs.   Know First, Act Faster! Next Generation Wall St. now has access to short duration, high return, on-chain investment opportunities 24/7.   Built for Fund Managers on Wall Street Work Smarter, not harder! Our Compliance and Reporting Infrastructure is built keeping fund managers in mind.    We help fund managers increase total portfolio returns by leveraging traditional assets in the crypto markets Ready to get started? Get in touch. Get Started     Home On-chain Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2023 Privacy Policy         ·         Terms & Conditions    "
1, about.html," about.html.   About - OpenEXA    OpenEXA Home Margin About Team Research Contact          Login            Our Mission We are on a mission to bridge Wall Street assets into the crypto markets.     Our Story After spending over a decade at some of the largest financial institutions, including Bank of America, American Express, and Goldman Sachs, and founding Bond Intelligence Inc., a startup specializing in blockchain, big data, and machine learning, Ajit became captivated by the potential of blockchain in finance and its potential to revolutionize the industry. He noticed a gap and observed that the mainstream finance sector lacked an understanding of blockchain and that its complexity was a significant barrier and a deal-breaker. This led to a collaborative project between Bond Intelligence Inc. and the CFRM (Computational Finance and Risk Management) program at the University of Washington, where Ajit served as a guest speaker and industry collaborator in the course CFRM Class of 2019 (Computational Finance and Risk Management: 525 FinTech, Blockchains, and Cryptocurrencies) during the Winter of 2019. Here, he worked alongside Professor Tim Leung, Ph.D., the Boeing Endowed Chair Professor of Applied Mathematics and Director of the CFRM program at the University of Washington.           Ajit, along with Dr. Tim Leung and a group of colleagues and friends from finance, technology, and academia, including John, Dipit, Victor, Abhishek, Barnet, Mike, Franky, Julius, and others, engaged in extensive brainstorming sessions. Their focus was on identifying the key obstacles that were preventing fund managers from participating in the crypto markets. They zeroed in on the lack of on-chain credit, operational infrastructure, and policies as major barriers to entry.           The team's solution was the creation of an on-chain margin account with operational infrastructure to address the lack of on-chain credit, a critical aspect of the finance industry. With this in place, fund managers will be able to enter the crypto markets as soon as policies permit and clients request crypto investments in their portfolios. With the knowledge and means to participate in the crypto market, an on-chain margin account providing credit will be a game changer, acting as a catalyst for growth. This idea gave birth to OpenEXA, with the belief that an on-chain line of credit will be the driving force behind their success, just as jet fuel propels a rocket forward.           After thorough market research and consultation with industry experts, as well as interviews with numerous fund managers, they realized the opportunity was far greater than they initially anticipated. As OpenEXA continues to take shape, more individuals are becoming a part of this movement, eager to contribute to its success. Establishing Trust OpenEXA is a team of skilled finance professionals, engineers, crypto developers, and data scientists dedicated to producing high-quality products. We subscribe to the belief that code is law and that data inspires trust, which is the bedrock of any productive engagement. We also recognize that trust is the currency of engagement, and we are committed to engineering smart contracts, blockchain data blocks, and AI-powered algorithmic risk and pricing to the highest standards. In our view, these elements, not marble office buildings on Wall Street, represent the future cornerstones of trust. Simplicity            Navigating the crypto market can be challenging for fund managers due to a complicated regulatory system, opaque financial institutions, and a messy infrastructure. Fund managers need on-chain credit, compliant alternatives, and operational infrastructure that aligns with their fiduciary duties and enables them to create unique products. Streamlining technology, simplifying it, and providing clear guidance throughout the onramp process is no easy feat. However, we firmly believe that by staying true to this objective, we can create an exceptional solution that helps fund managers unlock untapped Alpha. Our Values Fairness, Transparency, and Honesty      Home On-chain Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2023 Privacy Policy         ·         Terms & Conditions   "
2, assets video video.mp4," assets video video.mp4.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
3, contact.html#contact form," contact.html#contact form.   Contact Us - OpenExa     OpenEXA  Home Margin About Team Research Contact      Login        Contact us      Have questions? We're here to help!          Sales       Ready to open an account? Have questions about OpenEXA?             Contact Sales         Support       Need help with an OpenEXA product? Need help with your       account?             Contact Support                call       Margin Call       Looking to contact our margin account team?             Contact Margin Team         Address:      1100 NE Campus Parkway, Suite 200 Seattle, WA 98105.       Trying to Get Started?      Contact us and we'll get back to you as soon as possible.      Message Us Start a chat! Call Us (704) 458-3353 Email Us support@openexa.com  Your name: Your email:  Your message:       Submit Request           Home  On-chain Margin  About Us  Team  Contact Us  openexa.co  openexa.to  openexa.us  openexa.net  openexa.io  openexa.ai  openexa.org  openexa.info       1100 NE Campus Parkway, Suite 200 Seattle, WA 98105           Copyright © OpenEXA Inc. 2023     Privacy Policy     ·     Terms & Conditions   "
4, contact.html," contact.html.   Contact Us - OpenExa     OpenEXA  Home Margin About Team Research Contact      Login        Contact us      Have questions? We're here to help!          Sales       Ready to open an account? Have questions about OpenEXA?             Contact Sales         Support       Need help with an OpenEXA product? Need help with your       account?             Contact Support                call       Margin Call       Looking to contact our margin account team?             Contact Margin Team         Address:      1100 NE Campus Parkway, Suite 200 Seattle, WA 98105.       Trying to Get Started?      Contact us and we'll get back to you as soon as possible.      Message Us Start a chat! Call Us (704) 458-3353 Email Us support@openexa.com  Your name: Your email:  Your message:       Submit Request           Home  On-chain Margin  About Us  Team  Contact Us  openexa.co  openexa.to  openexa.us  openexa.net  openexa.io  openexa.ai  openexa.org  openexa.info       1100 NE Campus Parkway, Suite 200 Seattle, WA 98105           Copyright © OpenEXA Inc. 2023     Privacy Policy     ·     Terms & Conditions   "
5, header basic signup.html," header basic signup.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
6, header basic.html," header basic.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
7, header graphic signup.html," header graphic signup.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
8, header graphic.html," header graphic.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
9, header inner page.html," header inner page.html.   404 Error - OpenExa    OpenEXA Home Margin About Team Contact          Login            This requested URL was not found on this server.            Return Home                Home Crypto Margin About Us Team Contact Us  openexa.co openexa.to openexa.us openexa.net  openexa.io openexa.ai openexa.org openexa.info  1100 NE Campus Parkway, Suite 200 Seattle, WA 98105  Copyright © OpenEXA Inc. 2022 Privacy Policy         ·         Terms & Conditions   "
